2015/08/12                                     Regional Medical Associates - Hamilton                                       PAGE   1

   Dept    Doc   Doc  Doc Name                  AMT-INCEXP  AMT-TOTDED     DIFF     AMT-PAYPOT  AMT-ADVOUT  AMT-PAYEFT    Doc
  Company  Dept  Nbr                                                                                                       Ep
                                                                                                                        Pay Code

     1       1   03K  RODRIGUES                      -4.90         .00       -4.90         .00         .00         .00     0
     1       1   122  AKHTAR                      5,157.96         .00    5,157.96         .00         .00         .00     0
     1       1   24E  SINGH                          -4.90         .00       -4.90         .00         .00         .00     0
     1       1   46K  CARONZO MED PROF CORP          65.62         .00       65.62         .00         .00         .00     0
     1       1   68L  MAZUREK                       -10.53         .00      -10.53         .00         .00         .00     0
     1       1   E78  OLIVER                     -7,498.15         .00   -7,498.15         .00         .00         .00     0
     1       1   L95  MUNOZ MED PROF CORP         2,012.87         .00    2,012.87         .00         .00         .00     0

     1       1   00F  MANGIN                       -126.74         .00     -126.74    6,250.00         .00    6,250.00     1
     1       1   05L  IVANYI MED PROF CORP        1,850.52         .00    1,850.52   15,000.00         .00   15,000.00     1
     1       1   06A  WRIGHT                      2,286.85         .00    2,286.85    8,106.00         .00    8,106.00     1
     1       1   070  GUENTER MED PROF CORP       5,485.09         .00    5,485.09    4,628.09         .00    4,628.09     1
     1       1   08B  WALKER MED PROF CORP       31,149.12         .00   31,149.12   18,430.00         .00   18,430.00     1
     1       1   09C  LOEWITH                     1,992.40         .00    1,992.40    3,876.00         .00    3,876.00     1
     1       1   100  MIKLEA                        386.74         .00      386.74   10,289.84         .00   10,289.84     1
     1       1   11F  HATCHER MED PROF CORP       4,943.52         .00    4,943.52    8,483.50         .00    8,483.50     1
     1       1   11H  BARRINGTON                  1,675.01         .00    1,675.01   12,500.00         .00   12,500.00     1
     1       1   134  KINZIE                      1,798.59         .00    1,798.59    6,000.00         .00    6,000.00     1
     1       1   163  ZAZULAK                       398.58         .00      398.58    7,207.34         .00    7,207.34     1
     1       1   174  WATERS                     17,741.78    3,930.41   13,811.37   11,229.75         .00    7,299.34     1
     1       1   199  SCHABORT                    3,174.33         .00    3,174.33   10,467.91         .00   10,467.91     1
     1       1   21M  OLIVER MED PROF CORP       15,135.68         .00   15,135.68   11,612.84         .00   11,612.84     1
     1       1   33L  ASRAR                      -3,088.27         .00   -3,088.27    2,386.92         .00    2,386.92     1
     1       1   406  MACKINNON                   3,287.08         .00    3,287.08    8,000.00         .00    8,000.00     1
     1       1   48L  KEGEL MED PROF CORP         2,979.36         .00    2,979.36    3,522.00         .00    3,522.00     1
     1       1   50A  FOWLER MED PROF CORP        3,742.97         .00    3,742.97   10,185.00         .00   10,185.00     1
     1       1   50K  WALSH (OCZKOWSKI CORP) P      301.12         .00      301.12    3,080.00         .00    3,080.00     1
     1       1   558  ALLABY MED PROF CORP        4,888.61         .00    4,888.61    9,976.66         .00    9,976.66     1
     1       1   58E  REDWOOD-CAMPBELL MED PRO    8,276.02         .00    8,276.02    8,807.84         .00    8,807.84     1
     1       1   65H  SIU MED PROF CORP           6,912.21         .00    6,912.21   12,500.00         .00   12,500.00     1
     1       1   73J  AHRENS                        596.37         .00      596.37    2,832.00         .00    2,832.00     1
     1       1   74L  TROLLOPE                    2,672.90         .00    2,672.90    6,136.00         .00    6,136.00     1
     1       1   831  RISDON                      1,147.09         .00    1,147.09    9,126.16         .00    9,126.16     1
     1       1   84M  LAM                              .00         .00         .00    1,652.00         .00    1,652.00     1
     1       1   85M  LI                               .00         .00         .00    1,652.00         .00    1,652.00     1
     1       1   867  LEVITT                           .00    5,971.67   -5,971.67   13,182.50         .00    7,210.83     1
     1       1   86K  LAM                         1,405.99         .00    1,405.99    9,086.00         .00    9,086.00     1
     1       1   87M  BROOKS                           .00         .00         .00    1,652.00         .00    1,652.00     1
     1       1   893  ZAMMIT-MAEMPEL                   .00         .00         .00    2,000.00         .00    2,000.00     1
     1       1   90J  O'TOOLE MED PROF CORP        -235.61         .00     -235.61   12,916.66         .00   12,916.66     1
     1       1   90M  JEYASEELAN                       .00         .00         .00    5,546.00         .00    5,546.00     1
     1       1   915  CHAN                        3,917.86         .00    3,917.86    5,949.16         .00    5,949.16     1
     1       1   93M  SHADD MED PROF CORP              .00         .00         .00    9,583.34         .00    9,583.34     1
     1       1   D75  EVERSON                       115.80         .00      115.80      413.00         .00      413.00     1
     1       1   E77  MARSHALL                   43,082.94    2,846.35   40,236.59    8,894.84         .00    6,048.49     1
     1       1   G38  SHAW MED PROF CORP          8,679.32         .00    8,679.32   10,425.41         .00   10,425.41     1
     1       1   H55  BRACKEN MED PROF CORP       5,388.90         .00    5,388.90   11,318.09         .00   11,318.09     1
     1       1   J08  CLARKE                      1,911.87         .00    1,911.87   12,000.00         .00   12,000.00     1
     1       1   J69  MOORE MED PROF CORP           631.55         .00      631.55   12,723.84         .00   12,723.84     1
     1       1   M97  THOMPSON MED PROF CORP      1,697.67         .00    1,697.67   13,100.00         .00   13,100.00     1
     1       1   N45  QUART                            .00         .00         .00   17,500.00         .00   17,500.00     1
     1       1   P42  PATEL                       4,274.31         .00    4,274.31   11,898.84         .00   11,898.84     1
     1       1   P77  DERRINGTON                  3,434.93         .00    3,434.93   13,500.00         .00   13,500.00     1
     1       1   R71  PRICE MED PROF CORP         4,858.07         .00    4,858.07   11,184.25         .00   11,184.25     1
2015/08/12                                     Regional Medical Associates - Hamilton                                       PAGE   2

   Dept    Doc   Doc  Doc Name                  AMT-INCEXP  AMT-TOTDED     DIFF     AMT-PAYPOT  AMT-ADVOUT  AMT-PAYEFT    Doc
  Company  Dept  Nbr                                                                                                       Ep
                                                                                                                        Pay Code

     1       1   T23  VORA MED PROF CORP          4,385.75         .00    4,385.75   12,000.00         .00   12,000.00     1
     1       1   W07  FUGERE MED PROF CORP        2,408.01         .00    2,408.01   13,000.00         .00   13,000.00     1
     1       1   W64  AGARWAL MED PROF CORP       2,061.90         .00    2,061.90    3,818.25         .00    3,818.25     1
     1       1   Y52  BAIRD (J. BAIRD CORP)         610.51         .00      610.51    7,984.75         .00    7,984.75     1

     1       1   47K  BULLOCK MED PROF CORP       3,209.66    4,372.74   -1,163.08    3,209.66    1,163.08         .00     2
     1       1   D20  STEVENSON                   4,529.29    6,756.08   -2,226.79    4,529.29    2,226.79         .00     2
     1       1   T63  POPURI                      2,710.34    6,549.96   -3,839.62    2,710.34    3,839.62         .00     2

     1       2   09E  LE MANACH                  14,059.95         .00   14,059.95   20,000.00         .00   20,000.00     1
     1       2   21H  PAUL MED PROF CORP          9,598.42         .00    9,598.42   15,833.34         .00   15,833.34     1
     1       2   21J  CORDOVANI MED PROF CORP      -991.04         .00     -991.04   14,166.66         .00   14,166.66     1
     1       2   27E  SHANTHANNA MED PROF CORP   14,067.65         .00   14,067.65   11,666.66         .00   11,666.66     1
     1       2   305  WONG                         -153.74         .00     -153.74    3,333.34         .00    3,333.34     1
     1       2   375  WOOD MED PROF CORP          4,296.71         .00    4,296.71   15,833.34         .00   15,833.34     1
     1       2   429  BORGES MED PROF CORP       40,063.73         .00   40,063.73   16,666.66         .00   16,666.66     1
     1       2   81M  DOMURACKI                        .00         .00         .00   13,333.34         .00   13,333.34     1
     1       2   82M  JO                               .00         .00         .00   13,333.34         .00   13,333.34     1
     1       2   G92  NANDAGOPAL MED PROF CORP    1,849.26         .00    1,849.26   13,333.34         .00   13,333.34     1
     1       2   H15  SHICHOR                    12,674.32         .00   12,674.32   12,500.00         .00   12,500.00     1
     1       2   N12  BUCKLEY MED PROF CORP        -419.82         .00     -419.82    7,333.34         .00    7,333.34     1
     1       2   N77  NANTHA-AREE MED PROF COR   13,298.41         .00   13,298.41   25,000.00         .00   25,000.00     1
     1       2   V63  FORERO                     -1,337.42         .00   -1,337.42   20,833.34         .00   20,833.34     1
     1       2   W59  WHYTE                       2,012.61         .00    2,012.61    6,500.00         .00    6,500.00     1

     1       3   00H  SERRANO                       -45.44         .00      -45.44         .00         .00         .00     0
     1       3   22H  DICKSON                        -3.02         .00       -3.02         .00         .00         .00     0
     1       3   65F  KLURFAN MED PROF CORP        -285.86         .00     -285.86         .00         .00         .00     0
     1       3   68F  GUNNARSSON MED PROF CORP         .67         .00         .67         .00         .00         .00     0
     1       3   72E  VANDERBEEK                   -773.86         .00     -773.86         .00         .00         .00     0

     1       3   02K  STACEY                       -405.00         .00     -405.00   14,583.34         .00   14,583.34     1
     1       3   05K  RISTEVSKI MED PROF CORP     2,921.69         .00    2,921.69   27,000.00         .00   27,000.00     1
     1       3   08C  HARLOCK MED PROF CORP      14,183.95         .00   14,183.95   28,000.00         .00   28,000.00     1
     1       3   098  PETERSON                   13,853.49         .00   13,853.49   23,166.66         .00   23,166.66     1
     1       3   19J  LEE                        14,259.35         .00   14,259.35   29,583.34         .00   29,583.34     1
     1       3   20J  GHERT MED PROF CORP         1,540.56         .00    1,540.56   13,750.00         .00   13,750.00     1
     1       3   214  KELLY                        -168.29         .00     -168.29   25,000.00         .00   25,000.00     1
     1       3   23H  PAMPALONI MED PROF CORP    22,442.84         .00   22,442.84    8,333.34         .00    8,333.34     1
     1       3   24F  ALGIRD                       -541.75         .00     -541.75   15,416.66         .00   15,416.66     1
     1       3   26J  PARRY                      -1,046.72         .00   -1,046.72   29,583.34         .00   29,583.34     1
     1       3   27C  COOPER MED PROF CORP       22,681.77         .00   22,681.77   25,000.00         .00   25,000.00     1
     1       3   319  ARCHIBALD                  -2,284.78         .00   -2,284.78   20,000.00         .00   20,000.00     1
     1       3   350  KAHNAMOUI MED PROF CORP    -2,882.26         .00   -2,882.26   34,000.00         .00   34,000.00     1
     1       3   35F  ENGELS                     23,380.27         .00   23,380.27   19,583.34         .00   19,583.34     1
     1       3   36B  GUPTA MED PROF CORP        23,871.87         .00   23,871.87   27,000.00         .00   27,000.00     1
     1       3   40C  TITTLEY MED PROF CORP       3,174.85         .00    3,174.85   25,000.00         .00   25,000.00     1
     1       3   450  CADEDDU                    25,157.83         .00   25,157.83   30,000.00         .00   30,000.00     1
     1       3   473  FORBES MED PROF CORP        5,227.55         .00    5,227.55   17,000.00         .00   17,000.00     1
     1       3   491  SCHIEMAN MED PROF CORP     -2,657.22         .00   -2,657.22   50,000.00         .00   50,000.00     1
     1       3   496  GMORA                      -2,859.61         .00   -2,859.61   21,505.43         .00   21,505.43     1
     1       3   51M  YARASCAVITCH                     .00         .00         .00   33,000.00         .00   33,000.00     1
     1       3   523  CHU MED PROF CORP          -2,205.90         .00   -2,205.90   55,000.00         .00   55,000.00     1
     1       3   567  AYENI MED PROF CORP         6,593.32         .00    6,593.32   32,000.00         .00   32,000.00     1
2015/08/12                                     Regional Medical Associates - Hamilton                                       PAGE   3

   Dept    Doc   Doc  Doc Name                  AMT-INCEXP  AMT-TOTDED     DIFF     AMT-PAYPOT  AMT-ADVOUT  AMT-PAYEFT    Doc
  Company  Dept  Nbr                                                                                                       Ep
                                                                                                                        Pay Code

     1       3   57K  ESKICIOGLU MED PROF CORP         .00         .00         .00   20,000.00         .00   20,000.00     1
     1       3   586  DYUB MED PROF CORP           -717.99         .00     -717.99   38,000.00         .00   38,000.00     1
     1       3   651  CENIC MED PROF CORP        42,514.39         .00   42,514.39   33,000.00         .00   33,000.00     1
     1       3   65E  CHOI MED PROF CORP          2,856.28         .00    2,856.28   30,000.00         .00   30,000.00     1
     1       3   68E  YANG MED PROF CORP         20,133.00         .00   20,133.00   25,000.00         .00   25,000.00     1
     1       3   704  FAIDI MED PROF CORP        12,394.16         .00   12,394.16   22,000.00         .00   22,000.00     1
     1       3   71M  MCRAE MED PROF CORP              .00         .00         .00    4,274.18         .00    4,274.18     1
     1       3   728  FINLEY MED PROF CORP       22,522.94         .00   22,522.94   50,000.00         .00   50,000.00     1
     1       3   734  HODGSON MED PROF CORP      12,694.04         .00   12,694.04   22,500.00         .00   22,500.00     1
     1       3   73L  SERRANO MED PROF CORP      -1,608.68         .00   -1,608.68   20,000.00         .00   20,000.00     1
     1       3   76J  AJANI MED PROF CORP              .00         .00         .00   25,000.00         .00   25,000.00     1
     1       3   86E  HANNA MED PROF CORP        36,964.50         .00   36,964.50   50,000.00         .00   50,000.00     1
     1       3   871  CYBULSKY                    2,293.25         .00    2,293.25   25,000.00         .00   25,000.00     1
     1       3   884  REID MED PROF CORP          6,576.95         .00    6,576.95   15,000.00         .00   15,000.00     1
     1       3   909  CAMERON MED PROF CORP            .00         .00         .00   24,000.00         .00   24,000.00     1
     1       3   929  FLAGEOLE MED PROF CORP      7,597.45         .00    7,597.45   23,000.00         .00   23,000.00     1
     1       3   953  DEMARIA MED PROF CORP            .00         .00         .00   28,083.00         .00   28,083.00     1
     1       3   98C  BRAGA MED PROF CORP        20,663.39         .00   20,663.39   28,833.00         .00   28,833.00     1
     1       3   99E  DEHESHI MED PROF CORP       6,326.58         .00    6,326.58   40,000.00         .00   40,000.00     1
     1       3   C64  BAILLIE MED PROF CORP        -704.04         .00     -704.04   10,000.00         .00   10,000.00     1
     1       3   D52  LOVRICS MED PROF CORP      -1,177.79         .00   -1,177.79   18,000.00         .00   18,000.00     1
     1       3   E27  BHANDARI MED PRO CORP            .00         .00         .00   14,166.66         .00   14,166.66     1
     1       3   E68  PIERCEY MED PROF CORP       9,947.82         .00    9,947.82   25,000.00         .00   25,000.00     1
     1       3   F08  ANVARI MED PROF CORP       49,785.22         .00   49,785.22   60,000.00         .00   60,000.00     1
     1       3   F50  OROVAN MED PROF CORP         -148.93         .00     -148.93    3,300.00         .00    3,300.00     1
