2017/01/23                                     Regional Medical Associates - Hamilton                                       PAGE   1

  Batctrl    Batctrl Amt
   Batch         Act
    Nbr

  22024386      1,908.93
  22024387      1,901.28
  22025678        240.90
  2203A106        303.65
  22044374     13,788.58
  22044375      7,780.66
  22044376      9,579.84
  2204E125      1,125.30
  2204E126      2,722.90
  2205C056      1,526.40
  2205K177      1,536.46
  2205K178     20,490.10
  2205T003      1,863.96
  22062108        149.40
  22062109      1,624.60
  2206R002      3,315.01
  2207R017     12,083.11
  2208C309      8,955.96
  2209R013      8,113.80
  2209R014      5,987.58
  2210R008        534.30
  2210R009        634.65
  2216F007        686.00
  22184155        176.35
  22184156      6,385.48
  22184157      1,937.30
  22215321     16,482.60
  22215322      1,766.60
  2221T005      6,362.00
  22229156      1,811.70
  2224H001        365.20
  2225B142      3,867.14
  2225P015     14,921.70
  2225P016     15,188.90
  2225P017     15,549.10
  2228L112         20.00
  2228L113      2,240.75
  2229A209     14,957.04
  2229A210     12,782.10
  2229A211     11,405.35
  2229M078     25,829.95
  2230N025        557.75
  2231R017      3,340.30
  2232T007      1,989.19
  2234P001        921.70
  2241F003        170.30
  2241R017      2,225.47
  2241R018      2,537.90
  2241T012        687.20
  2243R007      5,787.49
  22449058        422.95
  2245P013         26.55
  2246J039      1,686.00
  2249H024          5.70
  2249H025        119.78
  2250R004      2,439.60
  22518411     10,946.78
  22518412      6,283.14
  22518413      5,232.87
  22518414      3,978.75
  22518415      5,508.32
  22518416        191.70
  2255P019        369.38
  2255P020     13,755.14
  2257P001         65.95
  2258T017     33,212.86
  2258T018      4,627.96
  22612104      4,284.00
  22648095      1,301.30
  22648096      1,209.95
  22728071      1,735.75
  2272T001        640.80
  22744161     12,458.92
  22744162         93.95
  22744163     12,839.96
  22744164         77.20
  22761071        763.20
  2276L034        835.00
  2280H051      2,286.45
  2283R003        814.10
  2284J198      2,696.78
  2284J199     13,664.65
  2284J200     12,912.47
  2284J201     14,661.54
  2284J202        157.00
  2285T008      3,776.89
  2285T009      6,263.21
  2286E072      2,616.50
  2286E073        654.55
  22910269        122.55
  2292P013      6,790.10
  2292P014      1,056.15
  2293N004         85.15
  2294J088      7,235.96
  2295P019        157.00
  2295T001      1,373.61
  22969228      1,650.60
  22969229      1,467.60
  22970338         75.05
  22970339     18,977.29
  22999038    -16,658.74
  22C42340      2,137.60
  22C79157      2,482.80
  22D69275      3,180.00
  22F58141        239.70
  22G70085      8,032.92
  22H50093      8,261.50
  22J71059      2,580.40
  22J89221      2,416.80
  22K07121     21,329.65
  22K45398          9.70
  22K45399         97.50
  22M83004      6,496.90
  22M83005     14,065.43
  22M83006     11,626.43
  22R66210      4,384.11
  22V29007        151.65
  22V31046        795.50
  22V87178      5,569.29
  22V87179      6,051.94
  22V87180      1,597.54
  22W08203      1,246.50
  22W11241        274.67
  22W11242       -917.49
  22WW0716     16,256.13
  22WW0717      3,757.79
  22WW0718    196,106.31
  22WW0719    134,430.77
  22WW0720        300.00
  22WW0721  1,108,254.04
  22WW0722    897,089.41
  22WW0723    400,431.19
  22WW0724     15,548.17
  22WW0725     18,287.63
  22WW0726    233,407.65
  22WW0727    387,516.99
  22WW0728     84,128.82
  22WW0729      1,052.56
  22X83651      1,894.51
  22Y35033        830.65
  22Y35034      1,070.20
  22Y50167      1,287.31
  22Y65105         61.10
  2300E059      1,432.00
  2300E060        477.50
  2302B200      1,525.15
  2302B201        299.06
  2302B202      2,435.08
  2302B203      2,405.81
  2302B204      1,393.55
  2302R004      2,365.55
  2303F297         80.90
  2303F298      5,588.12
  2303F299        986.94
  2304M019         79.85
  2305P067      1,246.11
  2305P068        110.30
  2305P069      6,435.80
  2305P070      9,908.39
  2305P071     10,091.17
  2305P072        805.03
  2305R035      3,198.48
  2305R036      2,376.87
  2305R037      1,288.28
  2306H042        821.65
  2306H043        395.65
  2307P061      5,338.21
  2307P062      5,434.87
  2307P063      1,784.79
  2307P064        157.00
  23081087      1,511.50
  23081088      1,265.39
  23081089        153.62
  23081090        145.75
  23081091        621.10
  2308A125      2,484.00
  2308P050      5,979.01
  2308P051      4,247.75
  2308P052      2,141.57
  2308P053      2,823.33
  2308T016      2,344.59
  2308T017        106.97
  2308T018         35.65
  2310A114         82.45
  2310A115      3,140.85
  2310F077      7,431.10
  2311P109      4,830.54
  2311P110        345.23
  2311P111      7,599.84
  2312M020      1,204.50
  2312T004      1,672.50
  23147239      4,911.85
  23147240      8,071.50
  23147241     11,784.40
  2314L065      1,289.55
  2314P050      2,059.40
  2314P051        117.92
