2014/10/02                                                                                                   Regional Medical Associates - Hamilton                                                                                                     PAGE   1

  Doc   Dept    Doc   Doc Name                   Doc   Comp       Amt Mtd       Amt Ytd
  Nbr  Company  Dept                            Inits  Code

  004     1       4   TOMLINSON                  CW    PAYEFT           .00    156,625.64
  009     1      75   NGO                        QN    PAYEFT           .00     44,887.56
  00B     2      41   JALAYER                    M     PAYEFT        401.20     77,949.52
  00E     2      14   SOLH                       Z     PAYEFT           .00     51,771.07
  00F     1       1   MANGIN                     D     PAYEFT           .00     76,664.00
  00H     1       3   SERRANO                    P     PAYEFT           .00     90,000.00
  016     1      75   KWAN                       CW    PAYEFT           .00      5,622.46
  017     1       7   VAN DER MEULEN             J     PAYEFT           .36    138,347.95
  018     1       5   WEBB                       S     PAYEFT           .00    160,390.00
  01A     2      14   KHONG MED PROF CORP        B     PAYEFT      7,559.49    413,634.43
  01B     2      44   HANEL                      E     PAYEFT           .00     11,343.41
  01E     2      14   DZAJA MED PROF CORP        N     PAYEFT           .00      1,260.36
  01F     2      14   FEDAK-TARNOPOLSKY          S     PAYEFT      6,996.79    152,408.65
  01H     2      14   DEKNA MED PROF CORP        M     PAYEFT      5,941.62    111,908.48
  021     1       4   ST. ONGE                   J     PAYEFT           .00     82,500.00
  024     2      14   DUBE MED PROF CORP         MJ    PAYEFT     13,178.61    375,544.24
  025     1       5   DAVINE                     J     PAYEFT           .00    155,000.00
  026     2      14   GIBSON MED PROF CORP       K     PAYEFT      7,717.43    209,088.22
  027     1       5   FREY MED PROF CORP         B     PAYEFT           .00    140,000.00
  02A     1       7   RONEN MED PROF CORP        G     PAYEFT           .00     94,122.00
  02B     2      44   JALAYER                    M     PAYEFT         57.88     58,601.15
  02E     1       5   BENNETT                    T     PAYEFT           .00    113,482.00
  02F     1       4   IORIO MED PROF CORP        A     PAYEFT           .00     58,000.00
  02H     2      41   SHAIKH MED PROF CORP       VM    PAYEFT         31.33     45,136.02
  030     1       4   HART                       R     PAYEFT           .00     60,000.00
