CHECKF002TECH_SERV_DATE,8,,4,,9,3,3,4,14,,,,3,,49,3,3,,,,,7,,,,,,,,,8,,,,,2,5,2,14,42,,,4,,4,,,,,7,1
GET_CONST_REC_7_VALUES_GLOBALS,,,,,,5,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
GET_CONST_REC_7_VALUES,1,,1,,8,3,,,,,,,,,22,1,1,,,,,1,,,,,,,,,1,,,,,,,,8,10,,,1,,,,,,,4,
SELECT_F020_ACTIVE_FOR_COSTING_ANALYSIS_PERIOD,,,,,1,8,,1,11,,,,,,14,,,,,,,3,,,,,,,,,1,,,,,,,,5,15,,,,,,,,,,2,
SELECT_F002_FOR_COSTING_KEYING_CHARGES,,,,,,27,,1,67,,,,,,32,,,,,,,44,,,,,,,,,1,,,,,,,,34,150,,,,,,,,,,2,
COSTING1,12,,8,6,40,57,5,5,41,,,,5,,197,3,3,,,,,99,,,,,,,,,10,,,,,4,13,5,62,395,,,5,,4,,,,,9,1
COSTING1_NOWEB,12,,8,6,40,55,5,6,46,,,,5,,199,3,3,,,,,102,,,,,,,,,11,,,,,4,13,5,65,406,,,5,,4,,,,,9,1
COSTING2,6,,4,2,11,31,3,1,5,,,,3,,83,,,,,,,12,,,,,,,,,4,,,,,3,2,2,16,32,,,3,,2,,,,,5,1
COSTING2_NOWEB,7,,5,7,11,38,3,2,10,,,,3,,94,,,,,,,18,,,,,,,,,5,,,,,3,2,2,24,51,,,3,,2,,,,,5,1
COSTING3,4,,2,1,1,34,2,1,13,,,,2,,64,,,,,,,7,,,,,,,,,3,,,,,3,1,1,9,23,,,2,,2,,,,,3,1
COSTING4,5,,4,3,12,54,2,4,41,,,,2,,109,,,,,,,23,,,,,,,,,6,,,,,3,4,2,31,87,,,2,,1,,,,,3,1
COSTING5,5,,4,7,11,29,2,1,15,,,,2,,68,,,,,,,18,,,,,,,,,3,,,,,3,3,4,23,45,,,2,,1,,,,,3,1
COSTING5_NOWEB,5,,4,7,11,48,2,1,21,,,,2,,87,,,,,,,21,,,,,,,,,3,,,,,3,3,4,26,54,,,2,,1,,,,,3,1
COSTING6,5,,4,7,7,39,2,4,22,,,,2,,89,,,,,,,18,,,,,,,,,6,,,,,3,7,5,23,61,,,2,,1,,,,,3,1
COSTING6_NOWEB,5,,4,7,7,58,2,4,28,,,,2,,108,,,,,,,21,,,,,,,,,6,,,,,3,7,5,26,70,,,2,,1,,,,,3,1
COSTING7,5,,3,1,19,11,3,6,8,,,,3,,85,,,,,,,20,,,,,,,,,5,,,,,3,1,1,28,86,,,3,,2,,,,,5,1
CREATE_DUMMY_RECORDS,8,,4,,15,1,4,,,,,,4,,36,,,,,,,14,,,,,,,,,5,,,,,2,,,17,24,,,5,,4,,,,,5,1
DOCREVALL,2,,1,,13,1,,5,7,,,,,,47,,,,,,,10,,,,,,,,,6,,,,,3,4,1,17,45,,,1,,1,,,,,1,1
F020_INFO_IMPORT,12,,7,20,41,37,1,15,19,,,,1,,146,,,,,,,33,,,,,,,,,17,,,,,2,,,77,141,,,2,,7,,,,,2,1
F050_BI,2,,1,,7,21,,,,,,,,,33,,,,,,,9,,,,,,,,,1,,,,,,,,7,41,,,1,,1,,,,,1,1
F050_CSV,8,,6,5,67,16,2,52,52,,,,2,,221,,,,,,,131,,,,,,,,,8,,,,,2,,,125,346,,,3,,2,,,,,5,1
F050MA1,4,,3,2,60,22,,53,91,,,,,,217,,,,,,,139,,,,,,,,,7,,,,,2,,,134,344,,,1,,1,,,,,1,1
FIX_ADJ_CLAIM_FILE_1,2,,1,,23,45,,22,68,,,,,,133,,,,,,,62,,,,,,,,,6,,,,,2,,,63,142,,,1,,1,,,,,1,1
FIX_ADJ_CLAIM_FILE_2,2,,1,,2,,,,,,,,,,8,,,,,,,2,,,,,,,,,1,,,,,2,,,3,4,,,1,,1,,,,,1,1
FIX_DUMP_TECH,6,,4,2,2,2,2,1,3,,,,2,,20,,,,,,,3,,,,,,,,,4,,,,,1,1,2,6,13,,,3,,2,,,,,3,1
