D003_1,1,,,,,3,1,,,2,,,,,13,,,,,,,,,,,1,,1,,,2,,,,,,,,,,,,2,,,,,,,2,1
D003_1A,2,,2,1,2,16,,,,15,,,,,43,19,,,,,,7,,,,1,,2,,,2,,,,,,,,3,6,,,2,,,,,,,2,1
SAVEF020AUDIT_VAR,,,,,,1,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SCRTITLE,,,,,1,15,,,,2,,,,,20,3,,,1,1,,1,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,2,
STDHILITE,,,,,,13,,,,,,,,,24,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SAVEF020AUDIT,,,,,117,3,,,,,,,,,9,,,,,,,,,,,,,,,,1,,,,,,,,117,117,,,,,,,,,,2,
CREATEF020AUDIT,,,,,234,4,,,,,,,,,15,,,,,,,,,,,,,,,,2,,,,,,,,234,234,,,,,,,,,,2,
PAD_DOC_NBR,,,,,3,,,2,2,,,,,,9,,,,,,,4,,,,,,,,,,,,,,,,,5,16,,,,,,,,,,2,
D020,14,,15,19,192,207,19,31,40,151,,,,,783,141,,,,,,141,,1,4,38,,9,,61,55,,,,,,,,245,461,,,2,,6,,,,,3,1
D020A,4,,3,6,15,39,,6,8,65,,,,,142,50,,,,,,19,,,,8,,1,,,6,2,,,,,,,28,90,,,2,,5,,,,,3,1
D020B,1,,,,1,15,,,,11,,,,,28,6,,,,,,3,,,,,,1,,,1,1,,,,,,,1,1,,,2,,,,,,,3,1
D085,3,,6,6,6,18,,4,9,13,,,,,86,17,3,,,,,27,,2,3,4,,2,,,5,,,,,,,,19,71,,,2,,,,,,,2,1
D087,6,,13,14,11,53,,4,5,16,,,,,131,24,,,,,,31,,3,2,7,,2,,,3,,,,,,,,29,84,,,2,,,,,,,2,1
D087_DTL,2,,1,3,1,78,,,,46,,,,,130,57,,,,,,17,,,,,,2,,,1,4,,,,,,,4,7,,,2,,,,,,,2,1
D087_HDR,6,,9,16,10,28,1,,,94,,,,,117,73,,,,,,28,,,,,,1,,4,3,,,,,,,,23,62,,,2,,,,,,,2,1
SAVEF110AUDIT_VAR,,,,,,6,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SAVEF110AUDIT,,,,,12,1,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,12,12,,,,,,,,,,2,
CREATEF110AUDIT,,,,,24,,,,,,,,,,11,,,,,,,,,,,,,,,,2,,,,,,,,24,24,,,,,,,,,,2,
D110,6,,6,6,29,68,1,13,17,22,,,,,280,27,,,,,,39,,2,6,28,,2,,1,21,5,,,,,,,51,153,,,2,,5,,,,,3,1
SAVEF112AUDIT_VAR,,,,,,1,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SAVEF112AUDIT,,,,,27,6,,,,,,,,,12,,,,,,,,,,,,,,,,1,,,,,,,,27,27,,,,,,,,,,2,
CREATEF112AUDIT,,,,,54,,,,,,,,,,11,,,,,,,,,,,,,,,,2,,,,,,,,54,54,,,,,,,,,,2,
D112,6,,7,8,116,115,1,43,109,25,,,,,474,34,,,,,,136,,2,7,26,,3,,,21,3,,,,1,,,193,558,,,2,,7,,,,,3,1
D112A,7,,9,6,123,98,,35,101,20,,,,,427,28,,,,,,135,,3,9,26,,3,,,16,3,,,,1,,,188,576,,,2,,5,,,,,3,1
D114,5,,7,2,6,58,,,,17,,,,,103,22,3,,,,,12,,4,,2,,2,,,3,,,,,,,,8,10,,,2,,,,,,,2,1
D118,3,,3,5,8,36,,1,1,14,,,,,91,11,,,,,,19,,1,,,,2,,,4,4,,,,1,,,14,37,,,2,,,,,,,3,1
SAVEF119AUDIT_VAR,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SAVEF119AUDIT,,,,,8,1,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,8,8,,,,,,,,,,2,
CREATEF119AUDIT,,,,,16,,,,,,,,,,11,,,,,,,,,,,,,,,,2,,,,,,,,16,16,,,,,,,,,,2,
D119,5,,3,2,23,35,1,6,10,17,,,,,127,17,,,,,,28,,1,2,8,,2,,1,6,3,,,,,,,33,78,,,2,,4,,,,,3,1
D119GOV,4,,3,2,7,10,1,3,3,17,,,,,64,17,,,,,,15,,1,2,3,,2,,1,4,3,,,,,,,12,20,,,2,,,,,,,3,1
D119TITHE,5,,7,18,29,40,1,12,21,22,,,,,177,23,,,,,,32,,1,5,6,,2,,1,7,3,,,,,,,63,115,,,2,,3,,,,,3,1
D199,1,,1,1,8,30,,,,8,,,,,53,6,,,,,,7,,,,,,2,,,1,1,,,,1,,,7,14,,,2,,,,,,,3,1
DEF_CLMHDR_STATUS,,,,,9,8,,,,,,,,,18,,,,,,,9,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,2,
DEF_CLMDTL_STATUS,,,,,4,2,,,,,,,,,7,,,,,,,4,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,2,
CONFIDENTIALLY_CHECK,,,,,2,40,,2,104,,,,,,50,,,,,,,49,,,,,,,,,1,,,,,,,,49,143,,,,,,,,,,2,
D705_VERIFY_DESC_LENGTH,,,1,,5,12,,5,7,,,,,,43,,,,,,,11,,,1,,,,,,1,,,,,,,,11,34,,,,,,,,,,2,
D705A,10,,12,13,136,282,1,58,338,36,,,,,769,47,14,,,,,204,,4,6,36,,2,,3,21,3,,,,,,,304,908,,3,2,,5,,,,,2,1
D705B,1,,1,2,,11,,,,38,,,,,38,27,,,,,,7,,,,,,1,,,1,2,,,,,,,2,4,,,2,,,,,,,2,1
D705C,4,,3,5,13,34,,6,15,8,,,,,113,7,,,,,,13,,,1,4,,2,,,4,3,,,,,,,27,46,,,2,,2,,,,,2,1
D713,2,,3,8,,21,,,,12,,,,,37,12,,,,,,15,,1,,,,1,,,1,,,,,1,,,10,42,,,2,,,,,,,2,1
H020A,1,,1,2,2,27,,1,1,65,,,,,87,51,,,,,,5,,,,24,,1,,,3,2,,,,1,,,6,10,,,2,,,,,,,3,1
H110,5,,4,6,2,26,,3,3,22,,,,,93,29,,,,,,13,,,,13,,3,,,6,4,,,,1,,,12,24,,,2,,,,,,,3,1
H112,4,,2,2,12,28,,10,10,24,,,,,161,34,,,,,,16,,,,1,,3,,,13,4,,,,1,,,25,93,,,2,,,,,,,3,1
H112A,4,,2,2,3,20,,2,2,21,,,,,74,28,,,,,,15,,,,11,,3,,,4,4,,,,1,,,7,32,,,2,,,,,,,3,1
H113,4,,2,3,2,24,,2,2,20,,,,,75,25,,,,,,12,,,,10,,3,,,4,4,,,,1,,,8,15,,,2,,,,,,,3,1
H119,4,,2,3,7,30,,5,5,17,,,,,111,19,,,,,,13,,,,16,,3,,,7,4,,,,1,,,16,29,,,2,,,,,,,3,1
H119GOV,4,,2,3,7,9,,5,5,17,,,,,78,19,,,,,,13,,,,14,,3,,,5,4,,,,1,,,16,29,,,2,,,,,,,3,1
