AUDIT_F050HIST,2,,2,1,16,6,,12,12,35,,,,,131,34,1,,,,,30,,,,,,3,,,13,,,,,8,,3,33,82,,,,,,,,,,1,1
AUDIT_F050TPHIST,2,,2,1,8,4,,,,37,,,,,64,36,1,,,,,26,,,,,,3,,,1,,,,,9,,3,12,141,,,,,,,,,,1,1
AUDITDOC1,2,,1,,8,14,,9,35,2,,,,,59,2,,,,,,25,,,,,,1,,,4,,,,,2,1,2,25,59,,,,,1,,,,,1,1
AUDITDOC2,1,,1,,,,,,,18,,,,,28,15,,,,,,15,,,,,,3,,,1,,,,,7,,1,4,4,,,,,,,,,,1,
BILLINGLIST,2,,2,1,1,23,,1,55,51,,,,,102,53,,,,,,44,,,,,,3,,,2,,,,,10,,1,23,65,,,,,,,,,,1,1
CHECK_F001_F002_ALL_1,3,,2,2,1,4,,2,2,21,,,,,43,21,,,,,,4,,,,,,1,,,3,,,,,2,4,1,5,11,,,,,1,,,,,1,1
CHECK_F001_F002_ALL_2,1,,1,,2,8,,2,38,38,,,,,70,36,,,,,,34,,,,,,2,,,3,,,,,10,,,20,52,,,,,,,,,,1,
CHECK_F001_F002_ALL_3,3,,2,2,9,2,,5,21,23,,,,,67,23,,,,,,40,,,,,,1,,,6,,,,,,3,1,24,144,,,,,1,,,,,1,
CHECK_F001_F002_ALL_4,1,,1,,2,8,,2,34,34,,,,,66,32,,,,,,32,,,,,,2,,,3,,,,,10,,,18,46,,,,,,,,,,1,
CHECK_F001_F002_ALL_5,3,,2,2,,3,,1,3,6,,,,,19,6,,,,,,3,,,,,,1,,,2,,,,,,2,2,4,10,,,,,1,,,,,1,
CHECK_F001_F002_ALL_6,2,,2,5,2,,,2,32,20,,,,,44,18,,,,,,26,,,,,,2,,,3,,,,,10,,,22,53,,,,,,,,,,1,
CHECK_SUSP_DTL,2,,2,2,1,2,,1,17,9,,,,,26,8,,,,,,11,,,,,,3,,,2,,,,,6,,,12,37,,,,,,,,,,1,1
CHECKF001_F090__PASS1,3,,2,1,,2,,1,2,4,,,1,,18,4,,,,,,2,,,,,,1,,,2,,,,,2,,,2,18,,,,,1,,,,,1,1
CHECKF001_F090__PASS2,1,,1,,,,,,,,,,1,,3,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,
COSTING1,2,,2,1,3,9,,,,35,,,,,62,34,,,,,,8,,,,,,1,,,1,,,,,11,,1,8,19,,,,,,,,,,1,1
COSTING10,4,,4,3,6,27,,2,2,86,,,,,142,84,,,,,,35,,,,,,2,,,2,,,,,11,,1,15,32,,,,,,,,,,1,1
COSTING11,4,,4,4,1,18,,1,5,66,,,,,103,60,,,,,,45,,,,,,6,,,2,,,,,10,12,3,12,33,,,,,,,,,,1,1
COSTING6A,2,,2,1,3,8,,,,23,,,,,49,22,,,,,,8,,,,,,1,,,1,,,,,11,,1,8,19,,,,,,,,,,1,1
COSTREV26,2,,2,1,5,9,,3,7,26,,,,,67,25,1,,,,,10,,,,,,2,,,4,,,,,7,,1,13,32,,,,,,,,,,1,1
SEL_PED_F002_DTL_CLAIMS,,,,,1,9,,1,7,,,,,,20,4,1,,,,,4,,,,,,,,,1,,,,,,,,5,15,,,,,,,,,,2,
CREATE_CLAIMS_SUBA,2,,1,,,15,,,,11,,,,,36,11,,,,,,,,,,,,1,,,1,,,,,3,,,,,,,,,1,,,,,1,1
CREATE_CLAIMS_SUBB,3,,2,5,,,,1,1,19,,,,,28,19,,,,,,4,,,,,,1,,,2,,,,,,,,6,13,,,,,1,,,,,1,
CREATE_CLAIMS_SUBC,3,,2,1,,6,,,,39,,,,,50,39,,,,,,,,,,,,1,,,1,,,,,,,,1,2,,,,,1,,,,,1,
