element_name~keyword~dictionary_name~database_name~element_datatype~element_size~item_datatype_code~item_size~bwz_flag~decimal_position~shiftinput_code~fill_character~float_character~date_format~heading~help_text~initial_value~input_scale~output_scale~label_value~leading_sign~occurs_value~pattern~picture~separator~significance~template_name~trailing_sign
FACTOR~1068~rmaMp~~0013~9~0004~8~0001~5~~~~~~~~0~5~~-~~#*(.#<#<#<#<#<)<~ ^^^^.^^^^^~~7~~
FLAG~1068~rmaMp~~0001~1~0001~1~~~0002~~~~~~N~~~~~~~~~~~
ID~1068~rmaMp~~0001~0~0001~0~~~0002~~~~~~~~~~~~~~~~~
MONEY~1068~rmaMp~~0013~9~0010~4~~2~~~~~~~~2~~~ ~~~~~5~~-
MONEY_CR~1068~rmaMp~~0013~9~0010~4~~2~~~~~~~~2~~~ ~~~~~6~~cr
MONEY_DR~1068~rmaMp~~0013~9~0010~4~~2~~~~~~~~2~~~ ~~~^,^^^,^^^.^^dr~~6~~cr
MONEY_PR~1068~rmaMp~~0013~9~0010~4~~2~~~~~~~~2~~~(~~~~~5~~)
NAME~1068~rmaMp~~0001~20~0001~20~~~~~~~~~~~~~~~~~~~~
NUMERIC_ID~1068~rmaMp~~0013~0~0018~0~0001~~~~~~~~~0~~~ ~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^~~28~~
PERCENT~1068~rmaMp~~0013~5~0004~4~0001~2~~~~~~~~-2~4~~-~~~ ^^^.^^%~~5~~
PHONE~1068~rmaMp~~0013~10~0010~6~0001~~~~~~~~~0~~~ ~~~^^^ ^^^-^^^^~~8~~
POSTAL_CD~1068~rmaMp~~0001~6~0001~6~~~0002~~~~~~~~~~~~^#^#^#~^^^ ^^^~~~~
QUANTITY~1068~rmaMp~~0013~0~0010~2~0001~~~~~~~~~0~~~-~~~^,^^^,^^^,^^^,^^^,^^^~~1~~
TIME~1068~rmaMp~~0013~4~0010~2~~~~~~~~~~0~~~ ~~((1<#|2(0|1|2|3))<(0|1|2|3|4|5))<#~^^:^^~~5~~
TIME_STAMP~1068~rmaMp~~0013~8~0010~4~0001~~~~~~~~~0~~~ ~~~^^:^^:^^.^^~~11~~
ZIP_CODE~1068~rmaMp~~0013~5~0010~4~0001~~~~~~~~~0~~~ ~~~^^^^^~~5~~
Y2K_DATE~1068~rmaMp~~0002~8~0018~8~~~~~~~~~~~~~~~~~~~~
Y2K_CHAR_DATE~1068~rmaMp~~0001~8~0001~8~~~~~~~~~~~~~~~~~~~~
DATE_PLUS_TIME~1068~rmaMp~~0001~14~0001~14~~~~~~~~~~~~~~~~~~~~
ACTION_CODE~1053~rmaMp~~0001~2~0001~2~~~0002~~~~~` ` - note,`P/Q` Phone calls, `E/F` Emails , `I`nvoice~~~~~~~~~~~~
COLUMN_NBR_DOC_NBR~1053~rmaMp~~0013~3~0018~3~~~~~~~~Identifies the column that contains the Doctor`s Nbr~~~~~~~~~~~~
COLUMN_NBR_DOC_SURNAME~1053~rmaMp~~0013~3~0018~3~~~~~~~~Identifies the column that contains the Doctor`s surame~~~~~~~~~~~~
COLUMN_NBR_DOC_INITS~1053~rmaMp~~0013~3~0018~3~~~~~~~~Identifies the column that contains the Doctor`s Initials~~~~~~~~~~~~
COLUMN_NBR_DOC_GIVEN_NAMES~1053~rmaMp~~0013~3~0018~3~~~~~~~~Identifies the column that contains the Doctor`s Given Names~~~~~~~~~~~~
COLUMN_NBR_AMT~1053~rmaMp~~0013~3~0018~3~~~~~~~~Identifies the column that contains the dollar amount~~~~~~~~~~~~
COLUMN_NBR_COMP_CODE~1053~rmaMp~~0013~3~0018~3~~~~~~~~Identifies the column that contains the Compensation Code~~~~~~~~~~~~
AFP_TRANSACTION_ID~1053~rmaMp~~0001~2~0001~2~~~~~~~~AFP Fixed Payment file - transaction id~~~~~~~~~~~~
AFP_RECORD_ID~1053~rmaMp~~0001~1~0001~1~~~~~~~~AFP Fixed Payment file - record id~~~~~~~~~~~~
AFP_GROUP_NAME~1053~rmaMp~~0001~75~0001~75~~~~~~~~AFP Group Name~~~~~~~~~~~~
AFP_SOLO_NAME~1053~rmaMp~~0001~75~0001~75~~~~~~~~AFP Solo Name~~~~~~~~~~~~
AFP_PAYMENT_SIGN~1053~rmaMp~~0001~1~0001~1~~~~~~~~AFP Payment Sign `-` or `blank` for positive~~~~~~~~~~~~
AFP_SUBMISSION_SIGN~1053~rmaMp~~0001~1~0001~1~~~~~~~~AFP Submission Sign `-` or `blank` for positive~~~~~~~~~~~~
AFP_DUPLICATE_DOC_COUNT~1053~rmaMp~~0013~3~0018~3~~~~~~~~Number of RMA doctors with same OHIP NBR~~~~~~~~~~~~
RA_PAYMENT_AMT_TOTAL~1053~rmaMp~~0013~11~0018~11~~2~~~~~~R.A. Total Payment Amount~~~~~~~~~~~~
RA_PAYMENT_AMT~1053~rmaMp~~0013~11~0018~11~~2~~~~~~R.A. Payment Amount~~~~~~~~~~~~
AFP_PAYMENT_AMT_PAYROLL_A~1053~rmaMp~~0013~11~0018~11~~2~~~~~~AFP Payment Amount - Payroll `A` (22)~~~~~~~~~~~~
AFP_PAYMENT_AMT_PAYROLL_B~1053~rmaMp~~0013~11~0018~11~~2~~~~~~AFP Payment Amount - Payroll `b` (MP)~~~~~~~~~~~~
AFP_PAYMENT_AMT~1053~rmaMp~~0013~11~0018~11~~2~~~~~~AFP Payment Amount~~~~~~~~~~~~
AFP_SUBMISSION_AMT~1053~rmaMp~~0013~11~0018~11~~2~~~~~~AFP Conversion Submitted Amount~~~~~~~~~~~~
AFP_PAYMENT_AMT_TOTAL~1053~rmaMp~~0013~11~0018~11~~2~~~~~~AFP Conversion Total Governance Payment Amount~~~~~~~~~~~~
AFP_CONVERSION_SIGN~1053~rmaMp~~0001~1~0001~1~~~~~~~~AFP Conversion Sign `-` or `blank` for positive~~~~~~~~~~~~
AFP_CONVERSION_AMT~1053~rmaMp~~0013~11~0018~11~~2~~~~~~AFP Conversion Payment Amount~~~~~~~~~~~~
AFP_PAYMENT_PERCENTAGE~1053~rmaMp~~0013~5~0018~5~~2~~~~~~AFP RA payment Percentage~~~~~~~~~~~~
AFP_MULTI_DOC_RA_PERCENTAGE~1053~rmaMp~~0013~6~0018~6~~5~~~~~~AFP multi doc RA payment Percentage~~~~~~~~~~~~
AFP_REPORTING_MTH~1053~rmaMp~~0001~6~0001~6~~~~~~~~AFP Reporting Month~~~~~~~~~~~~
AFP_RELEASE_ID~1053~rmaMp~~0001~3~0001~3~~~~~~~~AFP Technical Spec Release Id~~~~~~~~~~~~
AMT_MTD_PAYEFT~1053~rmaMp~~0013~9~0018~9~~2~~~~~~MTD EFT Payment (PAYEFT)~~~~~~~~~~~~
AMT_YTD_TOTINC~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Total Income (TOTINC)~~~~~~~~~~~~
AMT_YTD_INCEXP~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Income - Expenses (INCEXP)~~~~~~~~~~~~
AMT_MTD_PAYPOT~1053~rmaMp~~0013~9~0018~9~~2~~~~~~MTD Potential Pay (PAYPOT)~~~~~~~~~~~~
AMT_MTD_GTYPEA~1053~rmaMp~~0013~9~0018~9~~2~~~~~~MTD Guaranteed Income Type-A (GTYPEA)~~~~~~~~~~~~
AMT_YTD_DEPEXM~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Expense Miscellaneous (`depexm`)~~~~~~~~~~~~
AMT_YTD_DEPEXR~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Expense Regular (`depexr`)~~~~~~~~~~~~
AMT_YTD_DEPCHR~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Expense Miscellaneous (`depexm`)~~~~~~~~~~~~
AMT_YTD_RMAEXR~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD RMA Expenses on REGULAR Income (`rmaexr`)~~~~~~~~~~~~
AMT_YTD_GST~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD GST (`gst`)~~~~~~~~~~~~
AMT_YTD_BILL~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Billing (BILL)~~~~~~~~~~~~
AMT_YTD_RMAEXM~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD RMA Expenses on MISCELLANEOUS Income (`rmaexm`)~~~~~~~~~~~~
AMT_YTD_EXP_01~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Expense Generic Comp Code-01~~~~~~~~~~~~
AMT_YTD_EXP_02~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Expense Generic Comp Code-02~~~~~~~~~~~~
AMT_YTD_EXP_03~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Expense Generic Comp Code-03~~~~~~~~~~~~
AMT_YTD_EXP_04~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Expense Generic Comp Code-04~~~~~~~~~~~~
AMT_YTD_EXP_05~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Expense Generic Comp Code-05~~~~~~~~~~~~
AMT_YTD_EXP_06~1053~rmaMp~~0013~9~0018~9~~2~~~~~~YTD Expense Generic Comp Code-06~~~~~~~~~~~~
