DEF_CLMHDR_STATUS,,,,,9,8,,,,,,,,,18,,,,,,,9,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,2,
DEF_CLMDTL_STATUS,,,,,4,2,,,,,,,,,7,,,,,,,4,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,2,
DEF_BATCTRL_BATCH_STATUS,,,,,5,8,,,,,,,,,14,,,,,,,5,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,2,
NEWU706A,58,,32,34,290,556,14,128,480,,,,14,,1311,,,,,,,432,,,,,,,,,54,,,,,2,35,30,529,1704,,,15,,28,,,,,29,1
GET_CONST_REC_7_VALUES_GLOBALS,,,,,,4,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
GET_CONST_REC_7_VALUES,1,,1,,8,5,,,,,,,,,25,1,1,,,,,1,,,,,,,,,1,,,,,,,,8,10,,,1,,,,,,,4,
U014_U015,26,,16,12,64,40,9,10,12,,,,9,,259,1,,,,,,34,,,,,,,,,19,,,,,3,,,71,188,,,9,,10,,,,,17,1
DEF_CLMHDR_STATUS_OHIP,,,,,1,4,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,
U030B_PART2,85,,46,68,200,519,20,47,299,,,,20,,1049,,,,,,,277,,,,,,,,,66,,,,,3,27,15,370,1205,,,21,,41,,,,,41,1
U035C,8,,5,10,14,10,3,1,1,,,,3,,47,,,,,,,20,,,,,,,,,5,,,,,2,3,3,25,71,,,4,,3,,,,,7,1
GST,,,,,1,8,,,,,,,,,10,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,
U115A_0__PASS1,,,,,,,11,,,,,,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
U115A_1__PASS1,,,,,,,11,,,,,,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
U116_POP_EXCL_DTL,6,,4,8,2,5,2,2,5,,,,2,,31,5,1,,,,,6,,,,,,,,,5,,,,,2,,,14,30,,,3,,2,,,,,3,1
U210,4,,2,1,1,28,1,3,3,,,,1,,56,1,,,,,,5,,,,,,,,,5,,,,,4,,,7,30,,,2,,2,,,,,2,1
DEF_CLMHDR_STATUS,,,,,9,8,,,,,,,,,18,,,,,,,9,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,2,
DEF_CLMDTL_STATUS,,,,,4,2,,,,,,,,,7,,,,,,,4,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,2,
DEF_BATCTRL_BATCH_STATUS,,,,,5,8,,,,,,,,,14,,,,,,,5,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,2,
NEWU706A,58,,32,34,290,556,14,128,480,,,,14,,1311,,,,,,,432,,,,,,,,,54,,,,,2,35,30,529,1731,,,15,,28,,,,,29,1
GET_CONST_REC_7_VALUES_GLOBALS,,,,,,4,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
GET_CONST_REC_7_VALUES,1,,1,,8,5,,,,,,,,,25,1,1,,,,,1,,,,,,,,,1,,,,,,,,8,18,,,1,,,,,,,4,
U014_U015,26,,16,12,64,40,9,10,12,,,,9,,259,1,,,,,,34,,,,,,,,,19,,,,,3,,,71,196,,,9,,10,,,,,17,1
DEF_CLMHDR_STATUS_OHIP,,,,,1,4,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,
U030B_PART2,85,,46,68,200,519,20,47,299,,,,20,,1049,,,,,,,277,,,,,,,,,66,,,,,3,27,15,370,1252,,,21,,41,,,,,41,1
U035C,8,,5,10,14,10,3,1,1,,,,3,,47,,,,,,,20,,,,,,,,,5,,,,,2,3,3,25,71,,,4,,3,,,,,7,1
GST,,,,,1,8,,,,,,,,,10,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,
U115A_0__PASS1,,,,,,,11,,,,,,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
U115A_1__PASS1,,,,,,,11,,,,,,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
U116_POP_EXCL_DTL,6,,4,8,2,5,2,2,5,,,,2,,31,5,1,,,,,6,,,,,,,,,5,,,,,2,,,14,32,,,3,,2,,,,,3,1
U210,4,,2,1,1,28,1,3,3,,,,1,,56,1,,,,,,5,,,,,,,,,5,,,,,4,,,7,32,,,2,,2,,,,,2,1
