SCRTITLE,,,,,1,15,,,,2,,,,,20,3,,,1,1,,1,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,2,
STDHILITE,,,,,,13,,,,,,,,,24,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
D113,6,,6,7,11,52,3,14,18,24,,,,,230,23,,,,,,24,,4,12,17,,2,,1,17,3,,,,1,,,34,81,,,2,,1,,,,,3,1
DEF_CLMHDR_STATUS,,,,,9,7,,,,,,,,,17,,,,,,,9,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,2,
DEF_CLMDTL_STATUS,,,,,4,2,,,,,,,,,7,,,,,,,4,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,2,
D705_VERIFY_DESC_LENGTH,,,1,,5,11,,5,7,,,,,,42,,,,,,,11,,,1,,,,,,1,,,,,,,,11,34,,,,,,,,,,2,
D705,10,,25,23,37,209,3,48,152,118,,,,,662,94,24,,1,1,,59,,2,17,38,,1,,8,36,,,,,,,,147,377,,,2,,2,,,,,2,1
M010_CRM,2,,5,15,13,6,,3,3,19,,,,,107,20,,,,,,17,,1,,14,,2,,,8,4,,,,,,,31,96,,,2,,,,,,,3,1
M010_CRM_D003,2,,2,4,4,3,1,,,2,,,,,18,,,,,,,7,,,,3,,1,,4,2,,,,,,,,8,29,,,2,,,,,,,2,1
M010_INS,5,,13,17,13,46,1,6,7,14,,,,,165,20,,,,,,18,,2,2,13,,2,,1,8,4,,,,,,,37,96,,1,2,,,,,,,3,1
M010_INS_D003,2,,2,4,4,3,1,,,2,,,,,18,,,,,,,7,,,,3,,1,,4,2,,,,,,,,8,29,,,2,,,,,,,2,1
M010_INS_F,1,,1,,1,8,,,,11,,,,,34,16,,,,,,10,,,,1,,2,,,2,1,,,,,,,1,1,,,2,,,,,,,2,1
M076,1,,3,2,,12,,,,11,,,,,33,17,,,,,,10,,1,,,,2,,,1,,,,,,,,1,2,,,2,,,,,,,3,1
SCRTITLE,,,,,1,15,,,,2,,,,,20,3,,,1,1,,1,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,2,
STDHILITE,,,,,,13,,,,,,,,,24,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
D113,6,,6,8,11,52,3,14,18,24,,,,,230,23,,,,,,24,,4,12,17,,2,,1,17,3,,,,1,,,34,81,,,2,,1,,,,,3,1
DEF_CLMHDR_STATUS,,,,,9,7,,,,,,,,,17,,,,,,,9,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,2,
DEF_CLMDTL_STATUS,,,,,4,2,,,,,,,,,7,,,,,,,4,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,2,
D705_VERIFY_DESC_LENGTH,,,1,,5,11,,5,7,,,,,,42,,,,,,,11,,,1,,,,,,1,,,,,,,,11,34,,,,,,,,,,2,
D705,10,,25,23,37,209,3,48,152,118,,,,,662,94,24,,1,1,,59,,2,17,38,,1,,8,36,,,,,,,,147,377,,,2,,2,,,,,2,1
M010_CRM,2,,5,15,13,6,,3,3,19,,,,,107,20,,,,,,17,,1,,14,,2,,,8,4,,,,,,,31,96,,,2,,,,,,,3,1
M010_CRM_D003,2,,2,4,4,3,1,,,2,,,,,18,,,,,,,7,,,,3,,1,,4,2,,,,,,,,8,29,,,2,,,,,,,2,1
M010_INS,5,,13,18,13,46,1,6,7,14,,,,,165,20,,,,,,18,,2,2,13,,2,,1,8,4,,,,,,,37,96,,1,2,,,,,,,3,1
M010_INS_D003,2,,2,4,4,3,1,,,2,,,,,18,,,,,,,7,,,,3,,1,,4,2,,,,,,,,8,29,,,2,,,,,,,2,1
M010_INS_F,1,,1,,1,8,,,,11,,,,,34,16,,,,,,10,,,,1,,2,,,2,1,,,,,,,1,1,,,2,,,,,,,2,1
M076,1,,3,2,,12,,,,11,,,,,33,17,,,,,,10,,1,,,,2,,,1,,,,,,,,1,2,,,2,,,,,,,3,1
