EARNINGS_MP,3,,2,1,180,40,1,89,117,,,,1,,675,,,,,,,195,,,,,,,,,91,,,,,3,89,2,196,941,,,2,,1,,,,,3,1
EARNINGS_MP_HISTORY,3,,2,1,166,29,1,83,111,,,,1,,619,,,,,,,182,,,,,,,,,85,,,,,3,82,2,183,874,,,2,,1,,,,,3,1
F020_INFO_EXPORT,2,,1,,,1,1,1,15,,,,1,,13,,,,,,,8,,,,,,,,,3,,,,,1,,,8,32,,,2,,1,,,,,2,1
GST,,,,,1,7,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,
U115A,29,,15,5,116,232,11,42,118,,,,11,,858,11,11,,,,,91,,,,,,,,,51,,,,,4,28,3,177,509,,,12,,14,,,,,23,1
U115B,35,,20,3,318,138,17,39,103,,,,17,,1331,17,17,,,,,173,,,,,,,,,55,,,,,3,33,3,365,782,,,18,,15,,,,,35,1
DEF_COMPENSATION_STATUS,,,,,1,6,,,,,,,,,8,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,
U115C,11,,7,6,43,34,4,6,6,,,,4,,166,4,4,,,,,25,,,,,,,,,11,,,,,1,,,55,95,,,5,,4,,,,,9,1
U116_PAYCODE0,6,,3,2,20,17,,1,1,,,,1,,156,1,1,,,,,12,,,,,,,,,2,,,,,,,,23,30,,,1,,3,,,,,4,
U116_PAYCODE1,15,,6,11,114,141,,27,46,,,,1,,500,1,1,,,,,62,,,,,,,,,21,,,,,,4,1,158,343,,,1,,9,,,,,4,
U116_PAYCODE2,10,,6,14,37,90,,8,8,,,,1,,289,1,1,,,,,21,,,,,,,,,9,,,,,,,,59,114,,,1,,4,,,,,4,
U116_PAYCODE346,16,,7,15,78,113,,13,26,,,,1,,373,1,1,,,,,49,,,,,,,,,13,,,,,,,,111,221,,,1,,9,,,,,4,
U116_PAYCODE5,8,,4,6,25,8,,2,2,,,,1,,159,1,1,,,,,14,,,,,,,,,3,,,,,,,,33,58,,,1,,4,,,,,4,
U116_PAYCODE7,42,,13,16,42,96,,2,2,,,,3,,435,1,1,,,,,36,,,,,,,,,5,,,,,,2,,60,165,,,3,,29,,,,,8,
U116,25,,25,,96,80,33,1,3,,,,25,,3026,25,25,,,,,3,,,,,,,,,26,,,,,2,,,98,200,,,26,,,,,,,51,1
U122,5,,3,3,15,47,1,6,23,,,,1,,91,,,,,,,14,,,,,,,,,6,,,,,2,,,33,70,,,2,,2,,,,,3,1
U130,8,,4,5,29,11,2,6,13,,,,2,,82,1,1,,,,,17,,,,,,,,,8,,,,,3,,,44,97,,,3,,4,,,,,5,1
U132_SP_MP,12,,9,10,12,20,3,2,9,,,,3,,69,1,1,,,,,10,,,,,,,,,6,,,,,4,,,28,68,,,4,,3,,,,,7,1
YEAREND_1,21,,12,8,71,65,7,11,35,,,,7,,247,1,1,,,,,66,,,,,,,,,19,,,,,3,1,3,102,220,,,8,,9,,,,,15,1
EARNINGS_MP,3,,2,1,180,40,1,89,117,,,,1,,675,,,,,,,195,,,,,,,,,91,,,,,3,89,2,196,941,,,2,,1,,,,,3,1
EARNINGS_MP_HISTORY,3,,2,1,166,29,1,83,111,,,,1,,619,,,,,,,182,,,,,,,,,85,,,,,3,82,2,183,874,,,2,,1,,,,,3,1
F020_INFO_EXPORT,2,,1,,,1,1,1,15,,,,1,,13,,,,,,,8,,,,,,,,,3,,,,,1,,,8,32,,,2,,1,,,,,2,1
GST,,,,,1,7,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,
U115A,29,,15,5,116,232,11,42,118,,,,11,,858,11,11,,,,,91,,,,,,,,,51,,,,,4,28,3,177,509,,,12,,14,,,,,23,1
U115B,35,,20,3,318,138,17,39,103,,,,17,,1331,17,17,,,,,173,,,,,,,,,55,,,,,3,33,3,365,782,,,18,,15,,,,,35,1
DEF_COMPENSATION_STATUS,,,,,1,6,,,,,,,,,8,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,
U115C,11,,7,6,43,34,4,6,6,,,,4,,166,4,4,,,,,25,,,,,,,,,11,,,,,1,,,55,95,,,5,,4,,,,,9,1
U116_PAYCODE0,6,,3,2,20,17,,1,1,,,,1,,156,1,1,,,,,12,,,,,,,,,2,,,,,,,,23,30,,,1,,3,,,,,4,
U116_PAYCODE1,15,,6,11,114,141,,27,46,,,,1,,500,1,1,,,,,62,,,,,,,,,21,,,,,,4,1,158,343,,,1,,9,,,,,4,
U116_PAYCODE2,10,,6,14,37,90,,8,8,,,,1,,289,1,1,,,,,21,,,,,,,,,9,,,,,,,,59,114,,,1,,4,,,,,4,
U116_PAYCODE346,16,,7,15,78,113,,13,26,,,,1,,373,1,1,,,,,49,,,,,,,,,13,,,,,,,,111,221,,,1,,9,,,,,4,
U116_PAYCODE5,8,,4,6,25,8,,2,2,,,,1,,159,1,1,,,,,14,,,,,,,,,3,,,,,,,,33,58,,,1,,4,,,,,4,
U116_PAYCODE7,42,,13,16,42,96,,2,2,,,,3,,435,1,1,,,,,36,,,,,,,,,5,,,,,,2,,60,165,,,3,,29,,,,,8,
U116,25,,25,,96,80,33,1,3,,,,25,,3026,25,25,,,,,3,,,,,,,,,26,,,,,2,,,98,200,,,26,,,,,,,51,1
U122,5,,3,3,15,47,1,6,23,,,,1,,91,,,,,,,14,,,,,,,,,6,,,,,2,,,33,70,,,2,,2,,,,,3,1
U130,8,,4,5,29,11,2,6,13,,,,2,,82,1,1,,,,,17,,,,,,,,,8,,,,,3,,,44,97,,,3,,4,,,,,5,1
U132_SP_MP,12,,9,10,12,20,3,2,9,,,,3,,69,1,1,,,,,10,,,,,,,,,6,,,,,4,,,28,68,,,4,,3,,,,,7,1
YEAREND_1,21,,12,8,71,65,7,11,35,,,,7,,247,1,1,,,,,66,,,,,,,,,19,,,,,3,1,3,102,220,,,8,,9,,,,,15,1
EARNINGS_MP,3,,2,1,180,40,1,89,117,,,,1,,675,,,,,,,195,,,,,,,,,91,,,,,3,89,2,196,941,,,2,,1,,,,,3,1
EARNINGS_MP_HISTORY,3,,2,1,166,29,1,83,111,,,,1,,619,,,,,,,182,,,,,,,,,85,,,,,3,82,2,183,874,,,2,,1,,,,,3,1
F020_INFO_EXPORT,2,,1,,,1,1,1,15,,,,1,,13,,,,,,,8,,,,,,,,,3,,,,,1,,,8,32,,,2,,1,,,,,2,1
GST,,,,,1,7,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,
U115A,29,,15,5,116,232,11,42,118,,,,11,,858,11,11,,,,,91,,,,,,,,,51,,,,,4,28,3,177,509,,,12,,14,,,,,23,1
U115B,35,,20,3,318,138,17,39,103,,,,17,,1331,17,17,,,,,173,,,,,,,,,55,,,,,3,33,3,365,782,,,18,,15,,,,,35,1
DEF_COMPENSATION_STATUS,,,,,1,6,,,,,,,,,8,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,
U115C,11,,7,6,43,34,4,6,6,,,,4,,166,4,4,,,,,25,,,,,,,,,11,,,,,1,,,55,95,,,5,,4,,,,,9,1
U116_PAYCODE0,6,,3,2,20,17,,1,1,,,,1,,156,1,1,,,,,12,,,,,,,,,2,,,,,,,,23,30,,,1,,3,,,,,4,
U116_PAYCODE1,15,,6,11,114,141,,27,46,,,,1,,500,1,1,,,,,62,,,,,,,,,21,,,,,,4,1,158,343,,,1,,9,,,,,4,
U116_PAYCODE2,10,,6,14,37,90,,8,8,,,,1,,289,1,1,,,,,21,,,,,,,,,9,,,,,,,,59,114,,,1,,4,,,,,4,
U116_PAYCODE346,16,,7,15,78,113,,13,26,,,,1,,373,1,1,,,,,49,,,,,,,,,13,,,,,,,,111,221,,,1,,9,,,,,4,
U116_PAYCODE5,8,,4,6,25,8,,2,2,,,,1,,159,1,1,,,,,14,,,,,,,,,3,,,,,,,,33,58,,,1,,4,,,,,4,
U116_PAYCODE7,42,,13,16,42,96,,2,2,,,,3,,435,1,1,,,,,36,,,,,,,,,5,,,,,,2,,60,165,,,3,,29,,,,,8,
U116,25,,25,,96,80,33,1,3,,,,25,,3026,25,25,,,,,3,,,,,,,,,26,,,,,2,,,98,200,,,26,,,,,,,51,1
U122,5,,3,3,15,47,1,6,23,,,,1,,91,,,,,,,14,,,,,,,,,6,,,,,2,,,33,70,,,2,,2,,,,,3,1
U130,8,,4,5,29,11,2,6,13,,,,2,,82,1,1,,,,,17,,,,,,,,,8,,,,,3,,,44,97,,,3,,4,,,,,5,1
U132_SP_MP,12,,9,10,12,20,3,2,9,,,,3,,69,1,1,,,,,10,,,,,,,,,6,,,,,4,,,28,68,,,4,,3,,,,,7,1
YEAREND_1,21,,12,8,71,65,7,11,35,,,,7,,247,1,1,,,,,66,,,,,,,,,19,,,,,3,1,3,102,220,,,8,,9,,,,,15,1
