SAVEF020AUDIT_VAR,,,,,,1,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SCRTITLE,,,,,1,15,,,,2,,,,,20,3,,,1,1,,1,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,2,
STDHILITE,,,,,,13,,,,,,,,,24,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SAVEF020AUDIT_MP,,,,,105,33,,,,,,,,,32,,,,,,,,,,,,,,,,1,,,,,,,,105,105,,,,,,,,,,2,
CREATEF020AUDIT_MP,,,,,210,52,,,,,,,,,63,,,,,,,,,,,,,,,,2,,,,,,,,210,210,,,,,,,,,,2,
PAD_DOC_NBR,,,,,3,,,2,2,,,,,,9,,,,,,,4,,,,,,,,,,,,,,,,,5,16,,,,,,,,,,2,
D020,11,,11,13,42,138,15,11,24,123,,,,,444,96,,,,,,94,,1,3,28,,10,,47,39,,,,,,,,71,208,,,2,,2,,,,,3,1
D020A,4,,3,6,15,37,,6,8,65,,,,,137,50,,,,,,19,,,,8,,1,,,6,2,,,,,,,28,90,,,2,,5,,,,,3,1
SAVEF112AUDIT_VAR,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SAVEF112AUDIT,,,,,27,1,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,27,27,,,,,,,,,,2,
CREATEF112AUDIT,,,,,54,,,,,,,,,,11,,,,,,,,,,,,,,,,2,,,,,,,,54,54,,,,,,,,,,2,
D112A,6,,5,3,108,77,,32,96,20,,,,,377,28,,,,,,127,,2,8,23,,3,,,13,3,,,,1,,,166,524,,,2,,5,,,,,3,1
D113,5,,4,4,9,37,3,12,12,24,,,,,197,23,,,,,,21,,3,9,17,,2,,1,16,3,,,,1,,,24,57,,,2,,1,,,,,3,1
D114,4,,5,3,5,22,,,,16,,,,,63,20,,,,,,11,,3,,2,,2,,,3,,,,,,,,5,5,,,2,,,,,,,2,1
SAVEF119AUDIT_VAR,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SAVEF119AUDIT_MP,,,,,7,2,,,,,,,,,8,,,,,,,,,,,,,,,,1,,,,,,,,7,7,,,,,,,,,,2,
CREATEF119AUDIT_MP,,,,,14,2,,,,,,,,,13,,,,,,,,,,,,,,,,2,,,,,,,,14,14,,,,,,,,,,2,
D119,5,,3,3,23,34,1,6,10,17,,,,,126,17,,,,,,28,,1,2,8,,2,,1,6,3,,,,,,,33,78,,,2,,4,,,,,3,1
H119,4,,2,3,7,31,,5,5,17,,,,,100,19,,,,,,13,,,,14,,3,,,5,4,,,,1,,,16,29,,,2,,,,,,,3,1
M074,1,,1,1,,2,,,,20,,,,,26,25,,,,,,17,,1,,,,2,,,1,,,,,,,,,,,,2,,,,,,,2,1
M075,3,,3,3,,1,,,,21,,,,,30,30,,,,,,16,,3,,,,2,,,1,,,,,,,,,,,,2,,,,,,,2,1
M100,,1,,,1,40,8,,,24,,,,,68,14,,,,,,7,,,,,,2,,,3,,,,,,,,1,1,,,2,,,,,,,3,1
SAVEF020AUDIT_VAR,,,,,,1,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SCRTITLE,,,,,1,15,,,,2,,,,,20,3,,,1,1,,1,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,2,
STDHILITE,,,,,,13,,,,,,,,,24,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SAVEF020AUDIT_MP,,,,,105,33,,,,,,,,,32,,,,,,,,,,,,,,,,1,,,,,,,,105,105,,,,,,,,,,2,
CREATEF020AUDIT_MP,,,,,210,52,,,,,,,,,63,,,,,,,,,,,,,,,,2,,,,,,,,210,210,,,,,,,,,,2,
PAD_DOC_NBR,,,,,3,,,2,2,,,,,,9,,,,,,,4,,,,,,,,,,,,,,,,,5,16,,,,,,,,,,2,
D020,11,,11,13,42,138,15,11,24,123,,,,,444,96,,,,,,94,,1,3,28,,10,,47,39,,,,,,,,71,208,,,2,,2,,,,,3,1
D020A,4,,3,6,15,37,,6,8,65,,,,,137,50,,,,,,19,,,,8,,1,,,6,2,,,,,,,28,90,,,2,,5,,,,,3,1
SAVEF112AUDIT_VAR,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SAVEF112AUDIT,,,,,27,1,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,27,27,,,,,,,,,,2,
CREATEF112AUDIT,,,,,54,,,,,,,,,,11,,,,,,,,,,,,,,,,2,,,,,,,,54,54,,,,,,,,,,2,
D112A,6,,5,3,108,77,,32,96,20,,,,,377,28,,,,,,127,,2,8,23,,3,,,13,3,,,,1,,,166,524,,,2,,5,,,,,3,1
D113,5,,4,4,9,37,3,12,12,24,,,,,197,23,,,,,,21,,3,9,17,,2,,1,16,3,,,,1,,,24,57,,,2,,1,,,,,3,1
D114,4,,5,3,5,22,,,,16,,,,,63,20,,,,,,11,,3,,2,,2,,,3,,,,,,,,5,5,,,2,,,,,,,2,1
SAVEF119AUDIT_VAR,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
SAVEF119AUDIT_MP,,,,,7,2,,,,,,,,,8,,,,,,,,,,,,,,,,1,,,,,,,,7,7,,,,,,,,,,2,
CREATEF119AUDIT_MP,,,,,14,2,,,,,,,,,13,,,,,,,,,,,,,,,,2,,,,,,,,14,14,,,,,,,,,,2,
D119,5,,3,3,23,34,1,6,10,17,,,,,126,17,,,,,,28,,1,2,8,,2,,1,6,3,,,,,,,33,78,,,2,,4,,,,,3,1
H119,4,,2,3,7,31,,5,5,17,,,,,100,19,,,,,,13,,,,14,,3,,,5,4,,,,1,,,16,29,,,2,,,,,,,3,1
