AUDITORS_PAYEFT_YTD,3,,3,2,,,,1,3,10,,,,,28,11,2,,,,,7,,,,,,1,,,2,,,,,9,,,8,14,,,,,,,,,,1,1
CHECKF020_ACTIVE_DOC,3,,2,1,3,5,,1,1,16,,,,,37,16,,,,,,3,,,,,,1,,,2,,,,,3,,,5,11,,,,,1,,,,,1,1
COSTINGF119,1,,1,,,,,,,23,,,,,42,22,,,,,,5,,,,,,1,,,1,,,,,15,,2,4,4,,,,,,,,,,1,1
DOCINFO,7,,7,6,3,3,,1,5,28,,,1,,56,28,,,,,,7,,,,,,1,,,2,,,,,13,,2,15,28,,,,,,,,,,1,1
DRCHAUDHARY_REJECTS,3,,3,6,1,17,,1,3,13,,,,,56,14,3,,,,,11,,,,,,1,,,2,,,,,15,,4,13,23,,,,,,,,,,1,1
EMERGENCY_PAYROLL_CLMHDRID_1,1,,1,,1,,,1,1,15,,,,,38,14,,,,,,8,,,,,,1,,,2,,,,,15,,,6,15,,,,,,,,,,1,1
EMERGENCY_PAYROLL_CLMHDRID_2,,,,,,,,1,1,15,,,,,33,14,,,,,,6,,,,,,1,,,2,,,,,13,,,5,7,,,,,,,,,,1,
EMERGENCY_PAYROLL_CLMHDRID_3,,,,,,,,1,1,15,,,,,33,14,,,,,,6,,,,,,1,,,2,,,,,13,,,5,7,,,,,,,,,,1,
F087_PEDS_REJECTS_BY_ERRCODE,4,,4,7,1,18,,2,26,19,,,,,65,18,,,,,,22,,,,,,1,,,3,,,,,15,,3,25,58,,,,,,,,,,1,1
AFPADJ,4,,4,3,1,1,,1,7,17,,,,,42,16,,,,,,9,,,,,,1,,,2,,,,,15,,2,11,20,,,,,,,,,,1,1
F119TITHE,2,,2,1,,,,1,1,11,,,1,,30,10,1,,,,,7,,,,,,2,,,2,,,,,10,,1,5,8,,,,,,,,,,1,1
G271_CODE,2,,2,1,,,,,,13,,,,,30,11,,,,,,8,,,,,,2,,,1,,,,,13,,2,5,6,,,,,,,,,,1,1
GERIATRIC,2,,2,1,,,,,,12,,,,,29,10,,,,,,8,,,,,,2,,,1,,,,,13,,2,5,6,,,,,,,,,,1,1
K037_CODE,2,,2,1,,,,,,15,,,,,32,13,,,,,,9,,,,,,2,,,1,,,,,13,,2,5,6,,,,,,,,,,1,1
TITHE3,2,,2,1,1,3,,1,3,19,,,1,,45,17,,,,,,10,,,,,,2,,,2,,,,,14,,2,8,13,,,,,,,,,,1,1
YASCLARE_1,1,,1,,,,,1,15,15,,,,,37,14,,,,,,13,,,,,,1,,,2,,,,,15,,,12,28,,,,,,,,,,1,1
YASCLARE_2,,,,,,,,1,9,15,,,,,33,14,,,,,,10,,,,,,1,,,2,,,,,13,,,9,19,,,,,,,,,,1,
YASCLARE_3,,,,,,,,1,3,15,,,,,33,14,,,,,,7,,,,,,1,,,2,,,,,13,,,6,10,,,,,,,,,,1,
AUDITORS_PAYEFT_YTD,3,,3,2,,,,1,3,10,,,,,28,11,2,,,,,7,,,,,,1,,,2,,,,,9,,,8,17,,,,,,,,,,1,1
CHECKF020_ACTIVE_DOC,3,,2,1,3,5,,1,1,16,,,,,37,16,,,,,,3,,,,,,1,,,2,,,,,3,,,5,13,,,,,1,,,,,1,1
COSTINGF119,1,,1,,,,,,,23,,,,,42,22,,,,,,5,,,,,,1,,,1,,,,,15,,2,4,4,,,,,,,,,,1,1
DOCINFO,7,,7,6,3,3,,1,5,28,,,1,,56,28,,,,,,7,,,,,,1,,,2,,,,,13,,2,15,36,,,,,,,,,,1,1
