2016/10/13                                     Regional Medical Associates - Hamilton                                       PAGE   1

  Fee   Fee Curr A  Fee Curr A  Fee Curr H  Fee Curr H   Fee Curr   Fee Curr   Fee Curr   Fee Curr
  Oma     Fee 1       Fee 2       Fee 1       Fee 2       A Min      H Min      A Max      H Max
  Cd

  A075     372.750       0.000     175.000       0.000    372.750    175.000    372.750    175.000
  A083      88.501       0.000      41.550       0.000     88.501     41.550     88.501     41.550
  A085     172.743       0.000      81.100       0.000    172.743     81.100    172.743     81.100
  A086     102.133       0.000      47.950       0.000    102.133     47.950    102.133     47.950
  A135     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
  A185     375.625       0.000     176.350       0.000    375.625    176.350    375.625    176.350
  A193     170.080       0.000      79.850       0.000    170.080     79.850    170.080     79.850
  A195     424.722       0.000     199.400       0.000    424.722    199.400    424.722    199.400
  A196     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  A197     452.944       0.000     212.650       0.000    452.944    212.650    452.944    212.650
  A198     452.944       0.000     212.650       0.000    452.944    212.650    452.944    212.650
  A313     157.620       0.000      74.000       0.000    157.620     74.000    157.620     74.000
  A315     368.170       0.000     172.850       0.000    368.170    172.850    368.170    172.850
  A316     194.575       0.000      91.350       0.000    194.575     91.350    194.575     91.350
  A395     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  A485     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
  A515     194.575       0.000      91.350       0.000    194.575     91.350    194.575     91.350
  A605     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
2016/10/13                                     Regional Medical Associates - Hamilton                                       PAGE   2

  Fee   Fee Curr A  Fee Curr A  Fee Curr H  Fee Curr H   Fee Curr   Fee Curr   Fee Curr   Fee Curr
  Oma     Fee 1       Fee 2       Fee 1       Fee 2       A Min      H Min      A Max      H Max
  Cd

  A615     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
  A625     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
  A935     340.800       0.000     160.000       0.000    340.800    160.000    340.800    160.000
  C003     164.436       0.000      77.200       0.000    164.436     77.200    164.436     77.200
  C004      81.685       0.000      38.350       0.000     81.685     38.350     81.685     38.350
  C005     164.436       0.000      77.200       0.000    164.436     77.200    164.436     77.200
  C006      97.767       0.000      45.900       0.000     97.767     45.900     97.767     45.900
  C013     101.175       0.000      47.500       0.000    101.175     47.500    101.175     47.500
  C014      59.640       0.000      28.000       0.000     59.640     28.000     59.640     28.000
  C015     227.484       0.000     106.800       0.000    227.484    106.800    227.484    106.800
  C016     111.079       0.000      52.150       0.000    111.079     52.150    111.079     52.150
  C023      82.431       0.000      38.700       0.000     82.431     38.700     82.431     38.700
  C024      54.102       0.000      25.400       0.000     54.102     25.400     54.102     25.400
  C025     313.749       0.000     147.300       0.000    313.749    147.300    313.749    147.300
  C026      94.678       0.000      44.450       0.000     94.678     44.450     94.678     44.450
  C033      94.572       0.000      44.400       0.000     94.572     44.400     94.572     44.400
  C034      55.273       0.000      25.950       0.000     55.273     25.950     55.273     25.950
  C035     192.339       0.000      90.300       0.000    192.339     90.300    192.339     90.300
2016/10/13                                     Regional Medical Associates - Hamilton                                       PAGE   3

  Fee   Fee Curr A  Fee Curr A  Fee Curr H  Fee Curr H   Fee Curr   Fee Curr   Fee Curr   Fee Curr
  Oma     Fee 1       Fee 2       Fee 1       Fee 2       A Min      H Min      A Max      H Max
  Cd

  C036     127.800       0.000      60.000       0.000    127.800     60.000    127.800     60.000
  C043     124.072       0.000      58.250       0.000    124.072     58.250    124.072     58.250
  C044      63.900       0.000      30.000       0.000     63.900     30.000     63.900     30.000
  C045     257.943       0.000     121.100       0.000    257.943    121.100    257.943    121.100
  C046     124.072       0.000      58.250       0.000    124.072     58.250    124.072     58.250
